driverId,week,hours-logged,miles-logged
251,15,74,1200
300,44,51,3300
840,19,65,3900
535,4,63,400
298,35,74,4000
372,10,54,0
753,41,70,2600
703,27,54,600
776,47,75,2300
265,8,65,0
943,13,64,0
911,36,62,2700
641,6,51,1000
591,16,55,0
406,25,77,4000
801,49,54,200
916,41,65,1100
859,34,72,2800
671,21,72,2500
606,15,78,3000
946,17,71,200
69,5,62,3100
975,24,73,400
722,9,69,3500
878,50,75,3700
122,36,71,100
900,36,55,3500
530,8,67,1500
986,16,55,800
915,11,67,400
164,24,72,3000
132,50,68,3800
177,13,53,0
831,30,80,2100
151,7,68,3700
368,15,59,3800
337,16,51,3100
848,31,63,3300
249,52,66,1200
64,43,69,3200
213,8,73,2200
460,39,57,3000
531,31,69,4000
269,37,61,700
33,41,68,700
213,47,79,300
396,2,50,1700
678,17,64,3800
541,32,60,2300
594,31,60,3600
781,42,74,0
188,17,69,1800
621,10,78,2400
268,20,51,3500
296,21,64,3100
761,47,62,500
284,31,56,3300
900,10,77,1900
626,9,51,800
155,5,76,2100
510,27,68,700
1005,45,56,2900
130,31,79,1600
760,6,56,3400
269,39,76,3900
833,2,64,100
784,10,58,0
875,5,73,2200
852,27,59,4000
387,1,69,400
448,26,63,900
394,35,60,200
378,8,67,1000
810,19,80,3100
761,44,64,1600
604,9,62,700
411,10,79,500
830,46,51,700
261,21,78,0
755,35,72,400
380,13,80,3000
721,5,54,2700
391,38,80,2200
649,1,65,3300
809,40,51,3500
538,3,51,2900
842,10,55,2100
726,34,76,2900
127,37,77,3700
538,17,59,2400
125,47,68,0
718,18,51,1400
925,44,60,3200
125,9,56,1400
807,23,60,1500
483,41,68,0
80,8,66,1000
784,37,50,2900
556,5,68,1100
207,21,68,1100
446,10,55,3400
503,11,80,3000
404,17,54,2800
539,51,50,600
827,38,75,1300
281,35,53,1000
762,42,54,3600
563,17,55,300
262,20,50,0
829,42,79,3000
477,27,54,3400
270,7,72,2200
605,25,76,2500
736,22,65,4000
54,11,50,2600
594,37,65,3000
934,31,59,1700
372,34,59,500
855,51,70,1000
757,10,73,1800
373,27,70,1700
316,24,65,1400
223,25,51,3900
815,21,74,3500
408,41,53,2600
97,50,76,4000
124,22,79,2000
365,7,62,3300
900,34,55,3600
196,49,74,200
78,25,63,900
945,3,53,1100
925,29,76,1700
764,52,59,3800
222,35,79,3800
753,38,76,3600
310,49,65,2600
294,39,73,3200
552,24,50,2700
361,23,79,1700
636,20,73,1700
939,43,80,500
597,15,79,4000
404,9,56,4000
296,16,58,3100
382,49,58,2700
702,38,66,2000
552,21,68,2300
964,50,60,2500
660,35,66,3000
